n-plet	method	O-information	alpha	beta	gamma
Z00-Z01-X1-X2-X3-X4-X5-X6	GCMI	10.427679837956816	0.1	0.7	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	NPEET	12.657361872767614	0.1	0.7	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	THOI	7.268594789505005	0.1	0.7	0.1
X1-X2-X3	GCMI	1.8503131355363216	0.1	0.8	0.1
X1-X2-X3	NPEET	1.8863802511530245	0.1	0.8	0.1
X1-X2-X3	THOI	1.281907558441162	0.1	0.8	0.1
X1-X2-X3-X4	GCMI	3.6319101895090933	0.1	0.8	0.1
X1-X2-X3-X4	NPEET	3.922232563271571	0.1	0.8	0.1
X1-X2-X3-X4	THOI	2.5411052227020265	0.1	0.8	0.1
X1-X2-X3-X4-X5	GCMI	5.999633989903105	0.1	0.8	0.1
X1-X2-X3-X4-X5	NPEET	6.557167957379811	0.1	0.8	0.1
X1-X2-X3-X4-X5	THOI	4.186158633232116	0.1	0.8	0.1
X1-X2-X3-X4-X5-X6	GCMI	8.304302577511576	0.1	0.8	0.1
X1-X2-X3-X4-X5-X6	NPEET	9.148203910866998	0.1	0.8	0.1
X1-X2-X3-X4-X5-X6	THOI	5.780626702308655	0.1	0.8	0.1
Z00-Z01-X1-X2-X3	GCMI	4.186522899673782	0.1	0.8	0.1
Z00-Z01-X1-X2-X3	NPEET	4.719134383059869	0.1	0.8	0.1
Z00-Z01-X1-X2-X3	THOI	2.9015050172805785	0.1	0.8	0.1
Z00-Z01-X1-X2-X3-X4	GCMI	6.099556295837713	0.1	0.8	0.1
Z00-Z01-X1-X2-X3-X4	NPEET	7.531310694071257	0.1	0.8	0.1
Z00-Z01-X1-X2-X3-X4	THOI	4.253830051422119	0.1	0.8	0.1
Z00-Z01-X1-X2-X3-X4-X5	GCMI	8.688121618761448	0.1	0.8	0.1
Z00-Z01-X1-X2-X3-X4-X5	NPEET	10.595313720445983	0.1	0.8	0.1
Z00-Z01-X1-X2-X3-X4-X5	THOI	6.050256371498108	0.1	0.8	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	GCMI	11.328970303867049	0.1	0.8	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	NPEET	13.65906895330817	0.1	0.8	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	THOI	7.87918381690979	0.1	0.8	0.1
X1-X2-X3	GCMI	2.0137250459906584	0.1	0.9	0.1
X1-X2-X3	NPEET	2.046695235984535	0.1	0.9	0.1
X1-X2-X3	THOI	1.3947046220302581	0.1	0.9	0.1
X1-X2-X3-X4	GCMI	3.940561369547081	0.1	0.9	0.1
X1-X2-X3-X4	NPEET	4.260129235240123	0.1	0.9	0.1
X1-X2-X3-X4	THOI	2.7613681674003603	0.1	0.9	0.1
X1-X2-X3-X4-X5	GCMI	6.471371368136204	0.1	0.9	0.1
X1-X2-X3-X4-X5	NPEET	7.086069697409113	0.1	0.9	0.1
X1-X2-X3-X4-X5	THOI	4.520582461357117	0.1	0.9	0.1
X1-X2-X3-X4-X5-X6	GCMI	8.943759063445123	0.1	0.9	0.1
X1-X2-X3-X4-X5-X6	NPEET	9.79728892570648	0.1	0.9	0.1
X1-X2-X3-X4-X5-X6	THOI	6.230631351470947	0.1	0.9	0.1
Z00-Z01-X1-X2-X3	GCMI	4.520584077602958	0.1	0.9	0.1
Z00-Z01-X1-X2-X3	NPEET	5.12461279368738	0.1	0.9	0.1
Z00-Z01-X1-X2-X3	THOI	3.1322394967079163	0.1	0.9	0.1
Z00-Z01-X1-X2-X3-X4	GCMI	6.577709055042985	0.1	0.9	0.1
Z00-Z01-X1-X2-X3-X4	NPEET	8.114837063735006	0.1	0.9	0.1
Z00-Z01-X1-X2-X3-X4	THOI	4.591102075576782	0.1	0.9	0.1
Z00-Z01-X1-X2-X3-X4-X5	GCMI	9.328900904723948	0.1	0.9	0.1
Z00-Z01-X1-X2-X3-X4-X5	NPEET	11.363400335103893	0.1	0.9	0.1
Z00-Z01-X1-X2-X3-X4-X5	THOI	6.501889777183533	0.1	0.9	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	GCMI	12.13348459402661	0.1	0.9	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	NPEET	14.57075245996802	0.1	0.9	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	THOI	8.444180345535278	0.1	0.9	0.1
X1-X2-X3	GCMI	2.150472577360289	0.1	1.0	0.1
X1-X2-X3	NPEET	2.1839623075612375	0.1	1.0	0.1
X1-X2-X3	THOI	1.4893713414669036	0.1	1.0	0.1
X1-X2-X3-X4	GCMI	4.232112887429717	0.1	1.0	0.1
X1-X2-X3-X4	NPEET	4.520296569688508	0.1	1.0	0.1
X1-X2-X3-X4	THOI	2.9445128202438355	0.1	1.0	0.1
X1-X2-X3-X4-X5	GCMI	6.916640360492752	0.1	1.0	0.1
X1-X2-X3-X4-X5	NPEET	7.491208531531681	0.1	1.0	0.1
X1-X2-X3-X4-X5	THOI	4.80625011920929	0.1	1.0	0.1
X1-X2-X3-X4-X5-X6	GCMI	9.534654845950861	0.1	1.0	0.1
X1-X2-X3-X4-X5-X6	NPEET	10.39299425947301	0.1	1.0	0.1
X1-X2-X3-X4-X5-X6	THOI	6.618496656417847	0.1	1.0	0.1
Z00-Z01-X1-X2-X3	GCMI	4.80049634286865	0.1	1.0	0.1
Z00-Z01-X1-X2-X3	NPEET	5.483938577890617	0.1	1.0	0.1
