n-plet	method	O-information	alpha	beta
X1-X4-X5-X6	GCMI	-4.826816400793632e-07	0.2	0.6
X1-X4-X5-X6	NPEET	0.541317191293258	0.2	0.6
X1-X4-X5-X6	THOI	-4.4918060302734376e-05	0.2	0.6
X2-X3-X6	GCMI	0.0065045690194830644	0.2	0.6
X2-X3-X6	NPEET	-0.04195621486194838	0.2	0.6
X2-X3-X6	THOI	0.004541873931884766	0.2	0.6
X4-X5-X6	GCMI	-7.007841634987244e-07	0.2	0.6
X4-X5-X6	NPEET	0.31619546921255387	0.2	0.6
X4-X5-X6	THOI	-4.606246948242187e-05	0.2	0.6
X1-X2-X3-X6	GCMI	0.008080552795058793	0.2	0.7000000000000001
X1-X2-X3-X6	NPEET	-0.048228974157859025	0.2	0.7000000000000001
X1-X2-X3-X6	THOI	0.005691242218017578	0.2	0.7000000000000001
X1-X4-X5-X6	GCMI	-3.9785777161682745e-06	0.2	0.7000000000000001
X1-X4-X5-X6	NPEET	0.5992484290391914	0.2	0.7000000000000001
X1-X4-X5-X6	THOI	-2.002716064453125e-06	0.2	0.7000000000000001
X2-X3-X6	GCMI	0.008084451979337359	0.2	0.7000000000000001
X2-X3-X6	NPEET	-0.05721463630776782	0.2	0.7000000000000001
X2-X3-X6	THOI	0.005693626403808594	0.2	0.7000000000000001
X4-X5-X6	GCMI	-5.487352829902647e-07	0.2	0.7000000000000001
X4-X5-X6	NPEET	0.3449260068943859	0.2	0.7000000000000001
X4-X5-X6	THOI	-2.384185791015625e-06	0.2	0.7000000000000001
X1-X2-X3-X6	GCMI	0.00884830729524495	0.2	0.8
X1-X2-X3-X6	NPEET	-0.061802139786822606	0.2	0.8
X1-X2-X3-X6	THOI	0.006187820434570312	0.2	0.8
X1-X4-X5-X6	GCMI	-1.2723663667912887e-05	0.2	0.8
X1-X4-X5-X6	NPEET	0.5508855736012233	0.2	0.8
X1-X4-X5-X6	THOI	-2.32696533203125e-05	0.2	0.8
X2-X3-X6	GCMI	0.008859537064102163	0.2	0.8
X2-X3-X6	NPEET	-0.08011206081108231	0.2	0.8
X2-X3-X6	THOI	0.006194400787353516	0.2	0.8
X4-X5-X6	GCMI	8.772893323794051e-07	0.2	0.8
X4-X5-X6	NPEET	0.32998635602107046	0.2	0.8
X4-X5-X6	THOI	-1.4781951904296875e-05	0.2	0.8
X1-X2-X3-X6	GCMI	0.010940741080579386	0.2	0.9
X1-X2-X3-X6	NPEET	-0.049946379019294794	0.2	0.9
X1-X2-X3-X6	THOI	0.007746315002441407	0.2	0.9
X1-X4-X5-X6	GCMI	2.4841991354662694e-06	0.2	0.9
X1-X4-X5-X6	NPEET	0.5811976971432593	0.2	0.9
X1-X4-X5-X6	THOI	-1.0585784912109375e-05	0.2	0.9
X2-X3-X6	GCMI	0.010958988342817656	0.2	0.9
X2-X3-X6	NPEET	-0.09231640813604383	0.2	0.9
X2-X3-X6	THOI	0.007756614685058593	0.2	0.9
X4-X5-X6	GCMI	-5.964774274502815e-07	0.2	0.9
X4-X5-X6	NPEET	0.35040707533633225	0.2	0.9
