n-plet	method	O-information	alpha	beta	gamma
Z00-Z01-X1-X2-X3	NPEET	3.5337215436013745	0.1	0.9	0.1
Z00-Z01-X1-X2-X3	THOI	3.119628834724426	0.1	0.9	0.1
Z00-Z01-X1-X2-X3-X4	GCMI	6.600418213030919	0.1	0.9	0.1
Z00-Z01-X1-X2-X3-X4	NPEET	5.616194006393736	0.1	0.9	0.1
Z00-Z01-X1-X2-X3-X4	THOI	4.575060915946961	0.1	0.9	0.1
Z00-Z01-X1-X2-X3-X4-X5	GCMI	9.364231074569462	0.1	0.9	0.1
Z00-Z01-X1-X2-X3-X4-X5	NPEET	7.870024064260602	0.1	0.9	0.1
Z00-Z01-X1-X2-X3-X4-X5	THOI	6.490790295600891	0.1	0.9	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	GCMI	12.16544570606059	0.1	0.9	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	NPEET	10.087297965628629	0.1	0.9	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	THOI	8.432444143295289	0.1	0.9	0.1
X1-X2-X3	GCMI	2.149094325064267	0.1	1.0	0.1
X1-X2-X3	NPEET	1.5130599002181015	0.1	1.0	0.1
X1-X2-X3	THOI	1.4896391868591308	0.1	1.0	0.1
X1-X2-X3-X4	GCMI	4.248571952020007	0.1	1.0	0.1
X1-X2-X3-X4	NPEET	3.1428038785360073	0.1	1.0	0.1
X1-X2-X3-X4	THOI	2.9448853373527526	0.1	1.0	0.1
X1-X2-X3-X4-X5	GCMI	6.933412594928147	0.1	1.0	0.1
X1-X2-X3-X4-X5	NPEET	5.19534826901755	0.1	1.0	0.1
X1-X2-X3-X4-X5	THOI	4.805874490737915	0.1	1.0	0.1
X1-X2-X3-X4-X5-X6	GCMI	9.547811881092525	0.1	1.0	0.1
X1-X2-X3-X4-X5-X6	NPEET	7.209793001647595	0.1	1.0	0.1
X1-X2-X3-X4-X5-X6	THOI	6.618037867546081	0.1	1.0	0.1
Z00-Z01-X1-X2-X3	GCMI	4.795813907794086	0.1	1.0	0.1
Z00-Z01-X1-X2-X3	NPEET	3.8014875168080655	0.1	1.0	0.1
Z00-Z01-X1-X2-X3	THOI	3.324202907085419	0.1	1.0	0.1
Z00-Z01-X1-X2-X3-X4	GCMI	7.033562824285257	0.1	1.0	0.1
Z00-Z01-X1-X2-X3-X4	NPEET	6.005612775816122	0.1	1.0	0.1
Z00-Z01-X1-X2-X3-X4	THOI	4.8752926111221315	0.1	1.0	0.1
Z00-Z01-X1-X2-X3-X4-X5	GCMI	9.943314813217786	0.1	1.0	0.1
Z00-Z01-X1-X2-X3-X4-X5	NPEET	8.357891491350255	0.1	1.0	0.1
Z00-Z01-X1-X2-X3-X4-X5	THOI	6.892177987098694	0.1	1.0	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	GCMI	12.896147530979528	0.1	1.0	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	NPEET	10.654483403804422	0.1	1.0	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	THOI	8.938923835754395	0.1	1.0	0.1
X1-X2-X3	GCMI	0.021799979640341683	0.2	0.1	0.1
X1-X2-X3	NPEET	0.037300678420643864	0.2	0.1	0.1
X1-X2-X3	THOI	0.015110516548156738	0.2	0.1	0.1
X1-X2-X3-X4	GCMI	0.0769172775051687	0.2	0.1	0.1
X1-X2-X3-X4	NPEET	0.19082553452908285	0.2	0.1	0.1
X1-X2-X3-X4	THOI	0.05331485271453858	0.2	0.1	0.1
X1-X2-X3-X4-X5	GCMI	0.5147697254859036	0.2	0.1	0.1
X1-X2-X3-X4-X5	NPEET	0.5799623595534273	0.2	0.1	0.1
X1-X2-X3-X4-X5	THOI	0.356810188293457	0.2	0.1	0.1
X1-X2-X3-X4-X5-X6	GCMI	0.5151823999408507	0.2	0.1	0.1
X1-X2-X3-X4-X5-X6	NPEET	0.837793436545153	0.2	0.1	0.1
X1-X2-X3-X4-X5-X6	THOI	0.3570974826812744	0.2	0.1	0.1
Z00-Z01-X1-X2-X3	GCMI	-0.05697264453728099	0.2	0.1	0.1
Z00-Z01-X1-X2-X3	NPEET	0.43961999865045326	0.2	0.1	0.1
Z00-Z01-X1-X2-X3	THOI	-0.039491677284240724	0.2	0.1	0.1
Z00-Z01-X1-X2-X3-X4	GCMI	0.5842658348995364	0.2	0.1	0.1
Z00-Z01-X1-X2-X3-X4	NPEET	1.3149227298399286	0.2	0.1	0.1
Z00-Z01-X1-X2-X3-X4	THOI	0.4049841403961182	0.2	0.1	0.1
