n-plet	method	O-information	alpha	beta	gamma
Z00-Z01-X1-X2-X3-X4	JDIT	0.733506536730083	0.3	0.5	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5	JDIT	2.7548566274101614	0.3	0.5	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5-X6	JDIT	5.606798246428082	0.3	0.5	0.10000000149011612
X1-X2-X3	JDIT	0.36133025021239684	0.3	0.6	0.10000000149011612
X1-X2-X3-X4	JDIT	0.913484972774946	0.3	0.6	0.10000000149011612
X1-X2-X3-X4-X5	JDIT	2.2399873251033258	0.3	0.6	0.10000000149011612
X1-X2-X3-X4-X5-X6	JDIT	3.256550214974218	0.3	0.6	0.10000000149011612
Z00-Z01-X1-X2-X3	JDIT	0.36133009156938634	0.3	0.6	0.10000000149011612
Z00-Z01-X1-X2-X3-X4	JDIT	0.9134854984295174	0.3	0.6	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5	JDIT	3.053185334561531	0.3	0.6	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5-X6	JDIT	6.23324159324947	0.3	0.6	0.10000000149011612
X1-X2-X3	JDIT	0.46145342901152386	0.3	0.7	0.10000000149011612
X1-X2-X3-X4	JDIT	1.0977850492399561	0.3	0.7	0.10000000149011612
X1-X2-X3-X4-X5	JDIT	2.5573218106522804	0.3	0.7	0.10000000149011612
X1-X2-X3-X4-X5-X6	JDIT	3.7074829655146218	0.3	0.7	0.10000000149011612
Z00-Z01-X1-X2-X3	JDIT	0.4614537516734125	0.3	0.7	0.10000000149011612
Z00-Z01-X1-X2-X3-X4	JDIT	1.0977845971659992	0.3	0.7	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5	JDIT	3.344644250163276	0.3	0.7	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5-X6	JDIT	6.798636709866305	0.3	0.7	0.10000000149011612
X1-X2-X3	JDIT	0.5555908191237295	0.3	0.8	0.10000000149011612
X1-X2-X3-X4	JDIT	1.27004425193433	0.3	0.8	0.10000000149011612
X1-X2-X3-X4-X5	JDIT	2.8449011883096507	0.3	0.8	0.10000000149011612
X1-X2-X3-X4-X5-X6	JDIT	4.119607467102987	0.3	0.8	0.10000000149011612
