n-plet	method	alpha	beta	O-information
X1-X2-Z_syn-Z_red	JDIT	0.94	0.02	0.6307623791464214
X1-X2-Z_syn	JDIT	0.94	0.03	-0.9743726108737801
X1-X2-Z_syn-Z_red	JDIT	0.94	0.03	0.6208847570238928
X1-X2-Z_syn	JDIT	0.94	0.04	-1.1309237852333616
X1-X2-Z_syn-Z_red	JDIT	0.94	0.04	0.6155656838781332
X1-X2-Z_syn	JDIT	0.94	0.05	-1.2525463135148502
X1-X2-Z_syn-Z_red	JDIT	0.94	0.05	0.6119899859088552
X1-X2-Z_syn	JDIT	0.94	0.06	-1.3567990251035236
X1-X2-Z_syn-Z_red	JDIT	0.94	0.06	0.6036693576040232
X1-X2-Z_syn	JDIT	0.94	0.07	-1.4443939459804693
X1-X2-Z_syn-Z_red	JDIT	0.94	0.07	0.5970220443576517
X1-X2-Z_syn	JDIT	0.94	0.08	-1.5281977631693175
X1-X2-Z_syn-Z_red	JDIT	0.94	0.08	0.5842125366778765
X1-X2-Z_syn	JDIT	0.94	0.09	-1.5983295732946188
X1-X2-Z_syn-Z_red	JDIT	0.94	0.09	0.5780664533251901
X1-X2-Z_syn	JDIT	0.94	0.1	-1.6571867857765235
X1-X2-Z_syn-Z_red	JDIT	0.94	0.1	0.5680737264016236
X1-X2-Z_syn	JDIT	0.94	0.2	-2.065311779293113
X1-X2-Z_syn-Z_red	JDIT	0.94	0.2	0.4727291459797269
X1-X2-Z_syn	JDIT	0.94	0.3	-2.2459284741735623
X1-X2-Z_syn-Z_red	JDIT	0.94	0.3	0.426507339302398
X1-X2-Z_syn	JDIT	0.94	0.4	-2.3314142800447613
X1-X2-Z_syn-Z_red	JDIT	0.94	0.4	0.4277430467136142
X1-X2-Z_syn	JDIT	0.94	0.5	-2.3624955207939204
X1-X2-Z_syn-Z_red	JDIT	0.94	0.5	0.4628982661924622
X1-X2-Z_syn	JDIT	0.94	0.6	-2.3645305286062746
X1-X2-Z_syn-Z_red	JDIT	0.94	0.6	0.5179772863766099
X1-X2-Z_syn	JDIT	0.94	0.7	-2.3474494918152606
X1-X2-Z_syn-Z_red	JDIT	0.94	0.7	0.5802497710026244
X1-X2-Z_syn	JDIT	0.94	0.8	-2.3144083570735896
X1-X2-Z_syn-Z_red	JDIT	0.94	0.8	0.6519035509062161
X1-X2-Z_syn	JDIT	0.94	0.9	-2.274928786169103
X1-X2-Z_syn-Z_red	JDIT	0.94	0.9	0.7242936342440521
X1-X2-Z_syn	JDIT	0.94	0.91	-2.269735048581501
X1-X2-Z_syn-Z_red	JDIT	0.94	0.91	0.7314422357920993
X1-X2-Z_syn	JDIT	0.94	0.92	-2.264818344472935
X1-X2-Z_syn-Z_red	JDIT	0.94	0.92	0.7413488502426246
X1-X2-Z_syn	JDIT	0.94	0.93	-2.259218475250198
X1-X2-Z_syn-Z_red	JDIT	0.94	0.93	0.7539526883536682
X1-X2-Z_syn	JDIT	0.94	0.94	-2.255195095768871
X1-X2-Z_syn-Z_red	JDIT	0.94	0.94	0.7595524802880359
X1-X2-Z_syn	JDIT	0.94	0.95	-2.257192224411558
X1-X2-Z_syn-Z_red	JDIT	0.94	0.95	0.7561291401967367
X1-X2-Z_syn	JDIT	0.94	0.96	-2.248033096083387
X1-X2-Z_syn-Z_red	JDIT	0.94	0.96	0.7689974340659201
X1-X2-Z_syn	JDIT	0.94	0.97	-2.2427363333197263
X1-X2-Z_syn-Z_red	JDIT	0.94	0.97	0.7791116313884527
X1-X2-Z_syn	JDIT	0.94	0.98	-2.2374356137962446
X1-X2-Z_syn-Z_red	JDIT	0.94	0.98	0.7889716722209237
X1-X2-Z_syn	JDIT	0.94	0.99	-2.237719874411459
X1-X2-Z_syn-Z_red	JDIT	0.94	0.99	0.7900106061891878
X1-X2-Z_syn	JDIT	0.95	0.01	-0.4236608164844714
X1-X2-Z_syn-Z_red	JDIT	0.95	0.01	0.6604893135175853
X1-X2-Z_syn	JDIT	0.95	0.02	-0.7649739089236822
X1-X2-Z_syn-Z_red	JDIT	0.95	0.02	0.6306906831712966
X1-X2-Z_syn	JDIT	0.95	0.03	-0.9727562118329078
X1-X2-Z_syn-Z_red	JDIT	0.95	0.03	0.6203817526588058
X1-X2-Z_syn	JDIT	0.95	0.04	-1.121864144398802
X1-X2-Z_syn-Z_red	JDIT	0.95	0.04	0.6193709538547112
X1-X2-Z_syn	JDIT	0.95	0.05	-1.2468073658976564
X1-X2-Z_syn-Z_red	JDIT	0.95	0.05	0.613220399673015
X1-X2-Z_syn	JDIT	0.95	0.06	-1.3523009994406476
X1-X2-Z_syn-Z_red	JDIT	0.95	0.06	0.6066610523873217
X1-X2-Z_syn	JDIT	0.95	0.07	-1.4462412331237275
X1-X2-Z_syn-Z_red	JDIT	0.95	0.07	0.5954101076694869
X1-X2-Z_syn	JDIT	0.95	0.08	-1.5187621479024813
X1-X2-Z_syn-Z_red	JDIT	0.95	0.08	0.5909492781198885
X1-X2-Z_syn	JDIT	0.95	0.09	-1.592948786670922
X1-X2-Z_syn-Z_red	JDIT	0.95	0.09	0.5809288026498447
X1-X2-Z_syn	JDIT	0.95	0.1	-1.6577525334944998
X1-X2-Z_syn-Z_red	JDIT	0.95	0.1	0.5672005899442292
X1-X2-Z_syn	JDIT	0.95	0.2	-2.058563770675793
X1-X2-Z_syn-Z_red	JDIT	0.95	0.2	0.4750065658998432
X1-X2-Z_syn	JDIT	0.95	0.3	-2.2411481632793295
X1-X2-Z_syn-Z_red	JDIT	0.95	0.3	0.43269309920769333
X1-X2-Z_syn	JDIT	0.95	0.4	-2.33064266842927
X1-X2-Z_syn-Z_red	JDIT	0.95	0.4	0.42372337022360806
X1-X2-Z_syn	JDIT	0.95	0.5	-2.3661530609600367
X1-X2-Z_syn-Z_red	JDIT	0.95	0.5	0.4573366751211121
X1-X2-Z_syn	JDIT	0.95	0.6	-2.3648027576417325
X1-X2-Z_syn-Z_red	JDIT	0.95	0.6	0.5160492334648353
X1-X2-Z_syn	JDIT	0.95	0.7	-2.3474886373561
X1-X2-Z_syn-Z_red	JDIT	0.95	0.7	0.5775925997644644
X1-X2-Z_syn	JDIT	0.95	0.8	-2.3173021410760244
X1-X2-Z_syn-Z_red	JDIT	0.95	0.8	0.6479825319353892
X1-X2-Z_syn	JDIT	0.95	0.9	-2.2792791234685685
X1-X2-Z_syn-Z_red	JDIT	0.95	0.9	0.7205371438438326
X1-X2-Z_syn	JDIT	0.95	0.91	-2.2729639395793084
X1-X2-Z_syn-Z_red	JDIT	0.95	0.91	0.7315212945852383
X1-X2-Z_syn	JDIT	0.95	0.92	-2.2715536050741916
X1-X2-Z_syn-Z_red	JDIT	0.95	0.92	0.7313026996292734
X1-X2-Z_syn	JDIT	0.95	0.93	-2.2644424172032833
X1-X2-Z_syn-Z_red	JDIT	0.95	0.93	0.7388839303210233
X1-X2-Z_syn	JDIT	0.95	0.94	-2.2601381632597066
X1-X2-Z_syn-Z_red	JDIT	0.95	0.94	0.7489387231916609
X1-X2-Z_syn	JDIT	0.95	0.95	-2.254652288342972
X1-X2-Z_syn-Z_red	JDIT	0.95	0.95	0.758049931402956
X1-X2-Z_syn	JDIT	0.95	0.96	-2.254716311976322
X1-X2-Z_syn-Z_red	JDIT	0.95	0.96	0.7584012635898564
X1-X2-Z_syn	JDIT	0.95	0.97	-2.24716350272755
X1-X2-Z_syn-Z_red	JDIT	0.95	0.97	0.773041293772446
X1-X2-Z_syn	JDIT	0.95	0.98	-2.2448000484645037
X1-X2-Z_syn-Z_red	JDIT	0.95	0.98	0.7751386133141054
X1-X2-Z_syn	JDIT	0.95	0.99	-2.243353631551429
X1-X2-Z_syn-Z_red	JDIT	0.95	0.99	0.7753389761475279
X1-X2-Z_syn	JDIT	0.96	0.01	-0.4139797070030343
X1-X2-Z_syn-Z_red	JDIT	0.96	0.01	0.6598813746254812
X1-X2-Z_syn	JDIT	0.96	0.02	-0.7558280654648969
X1-X2-Z_syn-Z_red	JDIT	0.96	0.02	0.6301950585092719
X1-X2-Z_syn	JDIT	0.96	0.03	-0.9653230954875873
X1-X2-Z_syn-Z_red	JDIT	0.96	0.03	0.6218623772827926
X1-X2-Z_syn	JDIT	0.96	0.04	-1.1215874777377883
X1-X2-Z_syn-Z_red	JDIT	0.96	0.04	0.6127648857036397
X1-X2-Z_syn	JDIT	0.96	0.05	-1.2421543189281623
X1-X2-Z_syn-Z_red	JDIT	0.96	0.05	0.6088655078964307
X1-X2-Z_syn	JDIT	0.96	0.06	-1.3473268839053063
X1-X2-Z_syn-Z_red	JDIT	0.96	0.06	0.6059531588408862
X1-X2-Z_syn	JDIT	0.96	0.07	-1.4382102013690337
X1-X2-Z_syn-Z_red	JDIT	0.96	0.07	0.5978146305245191
X1-X2-Z_syn	JDIT	0.96	0.08	-1.5154862194518812
X1-X2-Z_syn-Z_red	JDIT	0.96	0.08	0.5864376824715555
X1-X2-Z_syn	JDIT	0.96	0.09	-1.5851061549441794
X1-X2-Z_syn-Z_red	JDIT	0.96	0.09	0.5791095639919744
X1-X2-Z_syn	JDIT	0.96	0.1	-1.6494719335135195
X1-X2-Z_syn-Z_red	JDIT	0.96	0.1	0.5689814478052522
X1-X2-Z_syn	JDIT	0.96	0.2	-2.0521802327103122
X1-X2-Z_syn-Z_red	JDIT	0.96	0.2	0.47492441288550175
X1-X2-Z_syn	JDIT	0.96	0.3	-2.2423066624348817
X1-X2-Z_syn-Z_red	JDIT	0.96	0.3	0.42532628596675437
X1-X2-Z_syn	JDIT	0.96	0.4	-2.328690315472013
X1-X2-Z_syn-Z_red	JDIT	0.96	0.4	0.4275980434049506
X1-X2-Z_syn	JDIT	0.96	0.5	-2.3614164517975462
X1-X2-Z_syn-Z_red	JDIT	0.96	0.5	0.45518539993042834
X1-X2-Z_syn	JDIT	0.96	0.6	-2.3651350682126404
X1-X2-Z_syn-Z_red	JDIT	0.96	0.6	0.508422209735696
X1-X2-Z_syn	JDIT	0.96	0.7	-2.348225196561221
X1-X2-Z_syn-Z_red	JDIT	0.96	0.7	0.5767060477475132
X1-X2-Z_syn	JDIT	0.96	0.8	-2.318728466489429
X1-X2-Z_syn-Z_red	JDIT	0.96	0.8	0.6448481450239565
X1-X2-Z_syn	JDIT	0.96	0.9	-2.2828712106381004
X1-X2-Z_syn-Z_red	JDIT	0.96	0.9	0.7139303859709499
X1-X2-Z_syn	JDIT	0.96	0.91	-2.277543738026877
X1-X2-Z_syn-Z_red	JDIT	0.96	0.91	0.7198364936428935
X1-X2-Z_syn	JDIT	0.96	0.92	-2.276780652743201
X1-X2-Z_syn-Z_red	JDIT	0.96	0.92	0.7214188734617862
X1-X2-Z_syn	JDIT	0.96	0.93	-2.2663660348864374
X1-X2-Z_syn-Z_red	JDIT	0.96	0.93	0.7389103997146476
X1-X2-Z_syn	JDIT	0.96	0.94	-2.263300086374656
X1-X2-Z_syn-Z_red	JDIT	0.96	0.94	0.7461684828599597
X1-X2-Z_syn	JDIT	0.96	0.95	-2.2664186204293726
X1-X2-Z_syn-Z_red	JDIT	0.96	0.95	0.7395856841496475
X1-X2-Z_syn	JDIT	0.96	0.96	-2.2609029940650607
X1-X2-Z_syn-Z_red	JDIT	0.96	0.96	0.7520426228674298
X1-X2-Z_syn	JDIT	0.96	0.97	-2.2522490318856088
X1-X2-Z_syn-Z_red	JDIT	0.96	0.97	0.7642508105479399
X1-X2-Z_syn	JDIT	0.96	0.98	-2.2515873029604676
X1-X2-Z_syn-Z_red	JDIT	0.96	0.98	0.765805089668799
X1-X2-Z_syn	JDIT	0.96	0.99	-2.2495447829253115
X1-X2-Z_syn-Z_red	JDIT	0.96	0.99	0.7691674598601291
X1-X2-Z_syn	JDIT	0.97	0.01	-0.4135675874770574
X1-X2-Z_syn-Z_red	JDIT	0.97	0.01	0.6591905645625558
X1-X2-Z_syn	JDIT	0.97	0.02	-0.7516895073933209
X1-X2-Z_syn-Z_red	JDIT	0.97	0.02	0.6304196704941304
X1-X2-Z_syn	JDIT	0.97	0.03	-0.9571805884367592
X1-X2-Z_syn-Z_red	JDIT	0.97	0.03	0.619767555100799
X1-X2-Z_syn	JDIT	0.97	0.04	-1.1141218945500255
X1-X2-Z_syn-Z_red	JDIT	0.97	0.04	0.6169159044782133
X1-X2-Z_syn	JDIT	0.97	0.05	-1.2358428236407364
X1-X2-Z_syn-Z_red	JDIT	0.97	0.05	0.6107577449333184
X1-X2-Z_syn	JDIT	0.97	0.06	-1.3383768237880713
X1-X2-Z_syn-Z_red	JDIT	0.97	0.06	0.6047343548880912
X1-X2-Z_syn	JDIT	0.97	0.07	-1.4308081355987172
X1-X2-Z_syn-Z_red	JDIT	0.97	0.07	0.5959169298305338
X1-X2-Z_syn	JDIT	0.97	0.08	-1.5094994849037398
X1-X2-Z_syn-Z_red	JDIT	0.97	0.08	0.5885660717020134
X1-X2-Z_syn	JDIT	0.97	0.09	-1.5766258694274744
X1-X2-Z_syn-Z_red	JDIT	0.97	0.09	0.5839530816141749
X1-X2-Z_syn	JDIT	0.97	0.1	-1.642006618238844
X1-X2-Z_syn-Z_red	JDIT	0.97	0.1	0.5694352227054663
X1-X2-Z_syn	JDIT	0.97	0.2	-2.046266671655478
X1-X2-Z_syn-Z_red	JDIT	0.97	0.2	0.4822803192119733
X1-X2-Z_syn	JDIT	0.97	0.3	-2.2362043268296428
X1-X2-Z_syn-Z_red	JDIT	0.97	0.3	0.4235764928089701
X1-X2-Z_syn	JDIT	0.97	0.4	-2.3286319334687593
X1-X2-Z_syn-Z_red	JDIT	0.97	0.4	0.42053707914159133
X1-X2-Z_syn	JDIT	0.97	0.5	-2.3635997865342437
X1-X2-Z_syn-Z_red	JDIT	0.97	0.5	0.4545890541536354
X1-X2-Z_syn	JDIT	0.97	0.6	-2.3665876507525523
X1-X2-Z_syn-Z_red	JDIT	0.97	0.6	0.5076180456961403
X1-X2-Z_syn	JDIT	0.97	0.7	-2.346603010294541
X1-X2-Z_syn-Z_red	JDIT	0.97	0.7	0.5741335565189968
X1-X2-Z_syn	JDIT	0.97	0.8	-2.3217008039724627
X1-X2-Z_syn-Z_red	JDIT	0.97	0.8	0.6380910396648136
X1-X2-Z_syn	JDIT	0.97	0.9	-2.285375423604303
X1-X2-Z_syn-Z_red	JDIT	0.97	0.9	0.7084643970524717
X1-X2-Z_syn	JDIT	0.97	0.91	-2.2833733306969215
X1-X2-Z_syn-Z_red	JDIT	0.97	0.91	0.7127454964235758
X1-X2-Z_syn	JDIT	0.97	0.92	-2.2773866123412807
X1-X2-Z_syn-Z_red	JDIT	0.97	0.92	0.7201118653553837
X1-X2-Z_syn	JDIT	0.97	0.93	-2.2718865873846514
X1-X2-Z_syn-Z_red	JDIT	0.97	0.93	0.7316293431677193
X1-X2-Z_syn	JDIT	0.97	0.94	-2.267847753264414
X1-X2-Z_syn-Z_red	JDIT	0.97	0.94	0.7366878511252415
X1-X2-Z_syn	JDIT	0.97	0.95	-2.266984340762064
X1-X2-Z_syn-Z_red	JDIT	0.97	0.95	0.737028764077763
X1-X2-Z_syn	JDIT	0.97	0.96	-2.2616021140718816
X1-X2-Z_syn-Z_red	JDIT	0.97	0.96	0.7492443927772008
X1-X2-Z_syn	JDIT	0.97	0.97	-2.258771639938287
X1-X2-Z_syn-Z_red	JDIT	0.97	0.97	0.7506922391661629
X1-X2-Z_syn	JDIT	0.97	0.98	-2.254587686440069
X1-X2-Z_syn-Z_red	JDIT	0.97	0.98	0.758854210948069
X1-X2-Z_syn	JDIT	0.97	0.99	-2.245136861746014
X1-X2-Z_syn-Z_red	JDIT	0.97	0.99	0.7745190092274734
X1-X2-Z_syn	JDIT	0.98	0.01	-0.40686014696480977
X1-X2-Z_syn-Z_red	JDIT	0.98	0.01	0.663141793309773
X1-X2-Z_syn	JDIT	0.98	0.02	-0.7460839534586456
X1-X2-Z_syn-Z_red	JDIT	0.98	0.02	0.6313865110264293
X1-X2-Z_syn	JDIT	0.98	0.03	-0.9544723596325554
X1-X2-Z_syn-Z_red	JDIT	0.98	0.03	0.6214677596703887
X1-X2-Z_syn	JDIT	0.98	0.04	-1.1057065164119106
X1-X2-Z_syn-Z_red	JDIT	0.98	0.04	0.6154816410106541
X1-X2-Z_syn	JDIT	0.98	0.05	-1.2326139151388231
X1-X2-Z_syn-Z_red	JDIT	0.98	0.05	0.6138792719138257
X1-X2-Z_syn	JDIT	0.98	0.06	-1.3353480884451172
X1-X2-Z_syn-Z_red	JDIT	0.98	0.06	0.6064574570717364
X1-X2-Z_syn	JDIT	0.98	0.07	-1.4237816366606346
X1-X2-Z_syn-Z_red	JDIT	0.98	0.07	0.5989523457149086
X1-X2-Z_syn	JDIT	0.98	0.08	-1.5030414370562513
X1-X2-Z_syn-Z_red	JDIT	0.98	0.08	0.5916927001669825
X1-X2-Z_syn	JDIT	0.98	0.09	-1.5718020807784083
X1-X2-Z_syn-Z_red	JDIT	0.98	0.09	0.5789346799663038
X1-X2-Z_syn	JDIT	0.98	0.1	-1.6351600724648923
X1-X2-Z_syn-Z_red	JDIT	0.98	0.1	0.5737192402524094
X1-X2-Z_syn	JDIT	0.98	0.2	-2.0382147777845567
X1-X2-Z_syn-Z_red	JDIT	0.98	0.2	0.48360412777134176
X1-X2-Z_syn	JDIT	0.98	0.3	-2.2275839121445276
X1-X2-Z_syn-Z_red	JDIT	0.98	0.3	0.42850686908196345
X1-X2-Z_syn	JDIT	0.98	0.4	-2.3211620051407444
X1-X2-Z_syn-Z_red	JDIT	0.98	0.4	0.42798542586618343
X1-X2-Z_syn	JDIT	0.98	0.5	-2.3612388635253607
X1-X2-Z_syn-Z_red	JDIT	0.98	0.5	0.45294426154256556
X1-X2-Z_syn	JDIT	0.98	0.6	-2.3684956710768112
X1-X2-Z_syn-Z_red	JDIT	0.98	0.6	0.5026279424682712
X1-X2-Z_syn	JDIT	0.98	0.7	-2.356483593551624
X1-X2-Z_syn-Z_red	JDIT	0.98	0.7	0.557402941486736
X1-X2-Z_syn	JDIT	0.98	0.8	-2.324721361873395
X1-X2-Z_syn-Z_red	JDIT	0.98	0.8	0.6299792637522152
X1-X2-Z_syn	JDIT	0.98	0.9	-2.289883355833213
X1-X2-Z_syn-Z_red	JDIT	0.98	0.9	0.6981705557497837
X1-X2-Z_syn	JDIT	0.98	0.91	-2.28700453074078
X1-X2-Z_syn-Z_red	JDIT	0.98	0.91	0.7063708813248631
X1-X2-Z_syn	JDIT	0.98	0.92	-2.280511509807855
X1-X2-Z_syn-Z_red	JDIT	0.98	0.92	0.7182262639781599
X1-X2-Z_syn	JDIT	0.98	0.93	-2.2800654048364404
X1-X2-Z_syn-Z_red	JDIT	0.98	0.93	0.7169785350864968
X1-X2-Z_syn	JDIT	0.98	0.94	-2.275280362322903
X1-X2-Z_syn-Z_red	JDIT	0.98	0.94	0.72501505026079
X1-X2-Z_syn	JDIT	0.98	0.95	-2.271454623331283
X1-X2-Z_syn-Z_red	JDIT	0.98	0.95	0.7313214459052493
X1-X2-Z_syn	JDIT	0.98	0.96	-2.264522262403092
X1-X2-Z_syn-Z_red	JDIT	0.98	0.96	0.7454061149135706
X1-X2-Z_syn	JDIT	0.98	0.97	-2.2644540636615247
X1-X2-Z_syn-Z_red	JDIT	0.98	0.97	0.7450956132966865
X1-X2-Z_syn	JDIT	0.98	0.98	-2.2580968962137495
X1-X2-Z_syn-Z_red	JDIT	0.98	0.98	0.754254635826144
X1-X2-Z_syn	JDIT	0.98	0.99	-2.2539945437760682
X1-X2-Z_syn-Z_red	JDIT	0.98	0.99	0.7621064279405567
X1-X2-Z_syn	JDIT	0.99	0.01	-0.4001749480404989
X1-X2-Z_syn-Z_red	JDIT	0.99	0.01	0.6640691170961175
X1-X2-Z_syn	JDIT	0.99	0.02	-0.7389948733478553
X1-X2-Z_syn-Z_red	JDIT	0.99	0.02	0.6301623484645547
X1-X2-Z_syn	JDIT	0.99	0.03	-0.9505068615983472
X1-X2-Z_syn-Z_red	JDIT	0.99	0.03	0.6199811569305417
X1-X2-Z_syn	JDIT	0.99	0.04	-1.1037410687897873
X1-X2-Z_syn-Z_red	JDIT	0.99	0.04	0.617596355166804
X1-X2-Z_syn	JDIT	0.99	0.05	-1.2267602212225406
X1-X2-Z_syn-Z_red	JDIT	0.99	0.05	0.6113348965321367
X1-X2-Z_syn	JDIT	0.99	0.06	-1.3276207764713857
X1-X2-Z_syn-Z_red	JDIT	0.99	0.06	0.6052094725484934
X1-X2-Z_syn	JDIT	0.99	0.07	-1.4191236301477623
X1-X2-Z_syn-Z_red	JDIT	0.99	0.07	0.5988780635964418
X1-X2-Z_syn	JDIT	0.99	0.08	-1.4966070538983194
X1-X2-Z_syn-Z_red	JDIT	0.99	0.08	0.5893612491923016
X1-X2-Z_syn	JDIT	0.99	0.09	-1.569599837048869
X1-X2-Z_syn-Z_red	JDIT	0.99	0.09	0.5836285883788658
X1-X2-Z_syn	JDIT	0.99	0.1	-1.6297922895218449
X1-X2-Z_syn-Z_red	JDIT	0.99	0.1	0.5706061083422617
X1-X2-Z_syn	JDIT	0.99	0.2	-2.036143003265778
X1-X2-Z_syn-Z_red	JDIT	0.99	0.2	0.4817662686508687
X1-X2-Z_syn	JDIT	0.99	0.3	-2.2293696880481813
X1-X2-Z_syn-Z_red	JDIT	0.99	0.3	0.4309862852143899
X1-X2-Z_syn	JDIT	0.99	0.4	-2.3217283536111646
X1-X2-Z_syn-Z_red	JDIT	0.99	0.4	0.41804582764823317
X1-X2-Z_syn	JDIT	0.99	0.5	-2.3611220899046557
X1-X2-Z_syn-Z_red	JDIT	0.99	0.5	0.44748362316541374
X1-X2-Z_syn	JDIT	0.99	0.6	-2.3685989484588235
X1-X2-Z_syn-Z_red	JDIT	0.99	0.6	0.4963611844141645
X1-X2-Z_syn	JDIT	0.99	0.7	-2.3536744041440287
X1-X2-Z_syn-Z_red	JDIT	0.99	0.7	0.5605941677835438
X1-X2-Z_syn	JDIT	0.99	0.8	-2.330335861888135
X1-X2-Z_syn-Z_red	JDIT	0.99	0.8	0.6214955334709737
X1-X2-Z_syn	JDIT	0.99	0.9	-2.2926881220411386
X1-X2-Z_syn-Z_red	JDIT	0.99	0.9	0.6988435381173315
X1-X2-Z_syn	JDIT	0.99	0.91	-2.285810652784536
X1-X2-Z_syn-Z_red	JDIT	0.99	0.91	0.7017015886172847
X1-X2-Z_syn	JDIT	0.99	0.92	-2.2829213960416435
X1-X2-Z_syn-Z_red	JDIT	0.99	0.92	0.7120294238466386
X1-X2-Z_syn	JDIT	0.99	0.93	-2.2819774980047187
X1-X2-Z_syn-Z_red	JDIT	0.99	0.93	0.7141151216887816
X1-X2-Z_syn	JDIT	0.99	0.94	-2.2813965330549504
X1-X2-Z_syn-Z_red	JDIT	0.99	0.94	0.7142471490763109
X1-X2-Z_syn	JDIT	0.99	0.95	-2.2722496045393945
X1-X2-Z_syn-Z_red	JDIT	0.99	0.95	0.7292608703584292
X1-X2-Z_syn	JDIT	0.99	0.96	-2.2713226750228506
X1-X2-Z_syn-Z_red	JDIT	0.99	0.96	0.7336607274315076
X1-X2-Z_syn	JDIT	0.99	0.97	-2.2682419390386577
X1-X2-Z_syn-Z_red	JDIT	0.99	0.97	0.7370426108374849
X1-X2-Z_syn	JDIT	0.99	0.98	-2.260711348172417
X1-X2-Z_syn-Z_red	JDIT	0.99	0.98	0.7513842940881952
X1-X2-Z_syn	JDIT	0.99	0.99	-2.259732285726711
X1-X2-Z_syn-Z_red	JDIT	0.99	0.99	0.7522205908985711
