n-plet	method	alpha	beta	O-information
X1-X2-Z_syn	JDIT	0.04	0.8	-0.21064410563896221
X1-X2-Z_syn-Z_red	JDIT	0.04	0.8	3.415252516911193
X1-X2-Z_syn	JDIT	0.04	0.9	-0.1695811363568262
X1-X2-Z_syn-Z_red	JDIT	0.04	0.9	3.4993565707270284
X1-X2-Z_syn	JDIT	0.04	0.91	-0.164625385171678
X1-X2-Z_syn-Z_red	JDIT	0.04	0.91	3.5111745435616264
X1-X2-Z_syn	JDIT	0.04	0.92	-0.16014725166318083
X1-X2-Z_syn-Z_red	JDIT	0.04	0.92	3.519211452328657
X1-X2-Z_syn	JDIT	0.04	0.93	-0.16069362380702845
X1-X2-Z_syn-Z_red	JDIT	0.04	0.93	3.5205095412518874
X1-X2-Z_syn	JDIT	0.04	0.94	-0.15425088696537512
X1-X2-Z_syn-Z_red	JDIT	0.04	0.94	3.5315738246324093
X1-X2-Z_syn	JDIT	0.04	0.95	-0.15101679128880824
X1-X2-Z_syn-Z_red	JDIT	0.04	0.95	3.5378083602610197
X1-X2-Z_syn	JDIT	0.04	0.96	-0.1469363432712263
X1-X2-Z_syn-Z_red	JDIT	0.04	0.96	3.5466823366890523
X1-X2-Z_syn	JDIT	0.04	0.97	-0.14425103117613208
X1-X2-Z_syn-Z_red	JDIT	0.04	0.97	3.5513079673127423
X1-X2-Z_syn	JDIT	0.04	0.98	-0.14288436562125065
X1-X2-Z_syn-Z_red	JDIT	0.04	0.98	3.5573815204393116
X1-X2-Z_syn	JDIT	0.04	0.99	-0.13658011943380335
X1-X2-Z_syn-Z_red	JDIT	0.04	0.99	3.568564710961097
X1-X2-Z_syn	JDIT	0.05	0.01	-2.0275142763691965
X1-X2-Z_syn-Z_red	JDIT	0.05	0.01	0.4841090500275288
X1-X2-Z_syn	JDIT	0.05	0.02	-2.3185243881595587
X1-X2-Z_syn-Z_red	JDIT	0.05	0.02	0.4208878537135094
X1-X2-Z_syn	JDIT	0.05	0.03	-2.36402865139834
X1-X2-Z_syn-Z_red	JDIT	0.05	0.03	0.5023536868060259
X1-X2-Z_syn	JDIT	0.05	0.04	-2.328155468220396
X1-X2-Z_syn-Z_red	JDIT	0.05	0.04	0.6212202602348492
X1-X2-Z_syn	JDIT	0.05	0.05	-2.2557171396014275
X1-X2-Z_syn-Z_red	JDIT	0.05	0.05	0.7610242161661361
X1-X2-Z_syn	JDIT	0.05	0.06	-2.170489798618575
X1-X2-Z_syn-Z_red	JDIT	0.05	0.06	0.8884359585440302
X1-X2-Z_syn	JDIT	0.05	0.07	-2.0904380534638287
X1-X2-Z_syn-Z_red	JDIT	0.05	0.07	0.9990819043191085
X1-X2-Z_syn	JDIT	0.05	0.08	-2.0078401298840975
X1-X2-Z_syn-Z_red	JDIT	0.05	0.08	1.1099900313916091
X1-X2-Z_syn	JDIT	0.05	0.09	-1.925225082128487
X1-X2-Z_syn-Z_red	JDIT	0.05	0.09	1.2159276146717515
X1-X2-Z_syn	JDIT	0.05	0.1	-1.8477149237315096
X1-X2-Z_syn-Z_red	JDIT	0.05	0.1	1.3093951766550609
X1-X2-Z_syn	JDIT	0.05	0.2	-1.292107943764822
