sample size	iteration	time
50000	50	9667.0
50000	51	9461.0
50000	52	9557.0
50000	53	9753.0
50000	54	9470.0
50000	55	9468.0
50000	56	8880.0
50000	57	9851.0
50000	58	9257.0
50000	59	9244.0
50000	60	9359.0
50000	61	9934.0
50000	62	9748.0
50000	63	9940.0
50000	64	9621.0
50000	65	10042.0
50000	66	9292.0
50000	67	9905.0
50000	68	9889.0
50000	69	9596.0
50000	70	9398.0
50000	71	9503.0
50000	72	9585.0
50000	73	9725.0
50000	74	9769.0
50000	75	10106.0
50000	76	9717.0
50000	77	9382.0
50000	78	9860.0
50000	79	9829.0
50000	80	9869.0
50000	81	9416.0
50000	82	9520.0
50000	83	9426.0
50000	84	10215.0
50000	85	10047.0
50000	86	9933.0
50000	87	10077.0
50000	88	9602.0
50000	89	9902.0
50000	90	9776.0
50000	91	8816.0
50000	92	10102.0
50000	93	9635.0
50000	94	9386.0
50000	95	9182.0
50000	96	9103.0
50000	97	9268.0
50000	98	9886.0
50000	99	9396.0
55000	0	10670.0
55000	1	10385.0
55000	2	10871.0
55000	3	11754.0
55000	4	11155.0
55000	5	10867.0
55000	6	11039.0
55000	7	11115.0
55000	8	10900.0
55000	9	11517.0
55000	10	11548.0
55000	11	11250.0
55000	12	11072.0
55000	13	10719.0
55000	14	11306.0
55000	15	11528.0
55000	16	11114.0
55000	17	11293.0
55000	18	11725.0
55000	19	10937.0
55000	20	11381.0
55000	21	11033.0
55000	22	11492.0
55000	23	11723.0
55000	24	11168.0
55000	25	11175.0
55000	26	10773.0
55000	27	11037.0
55000	28	11140.0
55000	29	11369.0
55000	30	11037.0
55000	31	11041.0
55000	32	11404.0
55000	33	11436.0
55000	34	11519.0
55000	35	11299.0
55000	36	10828.0
55000	37	10523.0
55000	38	11164.0
55000	39	11292.0
55000	40	10940.0
55000	41	11783.0
55000	42	11652.0
55000	43	11511.0
55000	44	10766.0
55000	45	11424.0
55000	46	10875.0
55000	47	11417.0
55000	48	11270.0
55000	49	11520.0
55000	50	11605.0
55000	51	11231.0
55000	52	11318.0
55000	53	10977.0
55000	54	11189.0
55000	55	11270.0
55000	56	11106.0
55000	57	11824.0
55000	58	11610.0
55000	59	11045.0
55000	60	11324.0
55000	61	11159.0
55000	62	10681.0
55000	63	10835.0
55000	64	10857.0
55000	65	11250.0
55000	66	10732.0
55000	67	11458.0
55000	68	10827.0
55000	69	11418.0
55000	70	10568.0
55000	71	11089.0
55000	72	10709.0
55000	73	10837.0
55000	74	11390.0
