library	estimator	T	N	batch_size	order	time
THOI	GC	1000	20	100000	15	0.38434362411499023
THOI	GC	1000	20	100000	16	0.11835885047912598
THOI	GC	1000	20	100000	17	0.043222904205322266
THOI	GC	1000	20	100000	18	0.018649816513061523
THOI	GC	1000	20	100000	19	0.01614546775817871
THOI	GC	1000	20	200000	3	0.030984878540039062
THOI	GC	1000	20	200000	4	0.07833242416381836
THOI	GC	1000	20	200000	5	0.26163244247436523
THOI	GC	1000	20	200000	6	0.6287269592285156
THOI	GC	1000	20	200000	7	1.2821681499481201
THOI	GC	1000	20	200000	8	2.202075958251953
THOI	GC	1000	20	200000	9	3.0829577445983887
THOI	GC	1000	20	200000	10	3.580573558807373
THOI	GC	1000	20	200000	11	3.5937836170196533
THOI	GC	1000	20	200000	12	2.87351393699646
THOI	GC	1000	20	200000	13	2.048337936401367
THOI	GC	1000	20	200000	14	1.1181855201721191
THOI	GC	1000	20	200000	15	0.37357473373413086
THOI	GC	1000	20	200000	16	0.12160634994506836
THOI	GC	1000	20	200000	17	0.04764866828918457
THOI	GC	1000	20	200000	18	0.0251007080078125
THOI	GC	1000	20	200000	19	0.018671751022338867
THOI	GC	1000	20	300000	3	0.03613638877868652
THOI	GC	1000	20	300000	4	0.08646583557128906
THOI	GC	1000	20	300000	5	0.28188467025756836
THOI	GC	1000	20	300000	6	0.5770525932312012
THOI	GC	1000	20	300000	7	1.2925641536712646
THOI	GC	1000	20	300000	8	2.2755727767944336
THOI	GC	1000	20	300000	9	3.0334837436676025
THOI	GC	1000	20	300000	10	3.764777183532715
THOI	GC	1000	20	300000	11	3.474940776824951
THOI	GC	1000	20	300000	12	2.9211432933807373
THOI	GC	1000	20	300000	13	1.9437024593353271
THOI	GC	1000	20	300000	14	1.1869070529937744
THOI	GC	1000	20	300000	15	0.42092227935791016
THOI	GC	1000	20	300000	16	0.12425637245178223
THOI	GC	1000	20	300000	17	0.05067086219787598
THOI	GC	1000	20	300000	18	0.029311656951904297
THOI	GC	1000	20	300000	19	0.024030685424804688
THOI	GC	1000	20	400000	3	0.04409623146057129
THOI	GC	1000	20	400000	4	0.09088325500488281
THOI	GC	1000	20	400000	5	0.263322114944458
THOI	GC	1000	20	400000	6	0.5898139476776123
THOI	GC	1000	20	400000	7	1.3022348880767822
THOI	GC	1000	20	400000	8	2.273998260498047
THOI	GC	1000	20	400000	9	3.1446921825408936
THOI	GC	1000	20	400000	10	4.596401929855347
THOI	GC	1000	20	400000	11	3.775939464569092
THOI	GC	1000	20	400000	12	3.0441529750823975
THOI	GC	1000	20	400000	13	1.887216329574585
THOI	GC	1000	20	400000	14	1.1798813343048096
THOI	GC	1000	20	400000	15	0.3796651363372803
THOI	GC	1000	20	400000	16	0.17305707931518555
THOI	GC	1000	20	400000	17	0.055146217346191406
THOI	GC	1000	20	400000	18	0.03555941581726074
THOI	GC	1000	20	400000	19	0.030598878860473633
THOI	GC	1000	20	500000	3	0.05204343795776367
THOI	GC	1000	20	500000	4	0.0990438461303711
THOI	GC	1000	20	500000	5	0.23259806632995605
THOI	GC	1000	20	500000	6	0.6407761573791504
THOI	GC	1000	20	500000	7	1.2426156997680664
THOI	GC	1000	20	500000	8	2.298494815826416
THOI	GC	1000	20	500000	9	3.0341336727142334
THOI	GC	1000	20	500000	10	3.6600146293640137
THOI	GC	1000	20	500000	11	3.574385166168213
THOI	GC	1000	20	500000	12	2.9647984504699707
THOI	GC	1000	20	500000	13	1.836517095565796
THOI	GC	1000	20	500000	14	1.2283966541290283
THOI	GC	1000	20	500000	15	0.38197851181030273
THOI	GC	1000	20	500000	16	0.17195916175842285
THOI	GC	1000	20	500000	17	0.06130647659301758
THOI	GC	1000	20	500000	18	0.04086589813232422
THOI	GC	1000	20	500000	19	0.04160714149475098
THOI	GC	1000	20	600000	3	0.05491828918457031
THOI	GC	1000	20	600000	4	0.10227584838867188
THOI	GC	1000	20	600000	5	0.24090814590454102
THOI	GC	1000	20	600000	6	0.633204460144043
THOI	GC	1000	20	600000	7	1.2699730396270752
THOI	GC	1000	20	600000	8	2.2389135360717773
THOI	GC	1000	20	600000	9	3.1652190685272217
THOI	GC	1000	20	600000	10	3.75775408744812
THOI	GC	1000	20	600000	11	3.4768497943878174
THOI	GC	1000	20	600000	12	2.8526570796966553
THOI	GC	1000	20	600000	13	1.977112054824829
THOI	GC	1000	20	600000	14	1.1194565296173096
THOI	GC	1000	20	600000	15	0.39801955223083496
THOI	GC	1000	20	600000	16	0.14207243919372559
