n_variables	n_samples	real_entropy	gcmi_entropy	npeet_entropy
3	10000	4.969813299576001	5.059544712345315	6.138136420935409
3	15000	4.969813299576001	5.026763547658252	6.1391317308506945
3	100000	4.969813299576001	5.0031634700723675	6.140894598818449
3	150000	4.969813299576001	4.997390878546245	6.141004981730972
3	1000000	4.969813299576001	4.985468775016697	6.141237045176406
3	1500000	4.969813299576001	4.983574797923428	6.141250225525005
3	10	1.3862943611198906	2.449698407223061	5.846259298151889
3	15	1.3862943611198906	1.9640907294750973	5.766516258325992
3	100	1.3862943611198906	1.6115097617879304	6.019118120190927
3	150	1.3862943611198906	1.8797096951463343	6.0389927560199075
3	1000	1.3862943611198906	1.5614798101529583	6.11487036793073
3	1500	1.3862943611198906	1.548556047968324	6.126661049907236
3	10000	1.3862943611198906	1.4508717844250771	6.138030003574283
3	15000	1.3862943611198906	1.4423999637004297	6.139032252352617
3	100000	1.3862943611198906	1.4130539904034105	6.140887129207182
3	150000	1.3862943611198906	1.4174578946813146	6.1410048837906706
3	1000000	1.3862943611198906	1.4003772437594453	6.1412381867748715
3	1500000	1.3862943611198906	1.3982203472792616	6.141253286609077
3	10	3.8066624897703196	6.535181729932652	5.159470713491081
3	15	3.8066624897703196	5.095030644444611	5.830510881526856
3	100	3.8066624897703196	4.235529276377991	6.014334206923208
3	150	3.8066624897703196	4.158817825608098	6.044458356290566
3	1000	3.8066624897703196	4.0245213173507945	6.1195241145300985
3	1500	3.8066624897703196	4.02984599951239	6.126878504867416
3	10000	3.8066624897703196	3.918179337579309	6.138301638271653
3	15000	3.8066624897703196	3.8816205748737076	6.1392472010581445
3	100000	3.8066624897703196	3.8515824519828126	6.140885103481463
3	150000	3.8066624897703196	3.847476723428688	6.14098440020583
3	1000000	3.8066624897703196	3.8292890135153232	6.141236371087762
3	1500000	3.8066624897703196	3.824854124644599	6.141250489000756
3	10	4.941642422609304	5.945976536829469	5.733190766195749
3	15	4.941642422609304	6.028185592514461	5.731985436672335
3	100	4.941642422609304	5.063939990426102	5.90009239935784
3	150	4.941642422609304	5.156895435084045	6.012209738154346
3	1000	4.941642422609304	5.093818201770965	6.117963945863725
3	1500	4.941642422609304	5.054707380640545	6.126622722392329
3	10000	4.941642422609304	5.015013097825079	6.1383870456480185
3	15000	4.941642422609304	4.9928184888240095	6.13921460101343
3	100000	4.941642422609304	4.970421725033669	6.140837419678979
3	150000	4.941642422609304	4.97157875128298	6.141010411161783
3	1000000	4.941642422609304	4.953860318623649	6.141237732765427
3	1500000	4.941642422609304	4.954053853806759	6.14125186275583
3	10	5.934894195619588	6.70188669030196	5.791617229774426
3	15	5.934894195619588	7.153105617034719	5.737633424969502
3	100	5.934894195619588	6.123614877031275	6.009742460806864
3	150	5.934894195619588	6.193333189444694	6.031231415490363
3	1000	5.934894195619588	6.040554785975271	6.117078952360049
3	1500	5.934894195619588	6.06946776323265	6.126896036157347
3	10000	5.934894195619588	6.006616999045073	6.138391899544095
3	15000	5.934894195619588	5.980804765078807	6.1391735576184345
3	100000	5.934894195619588	5.965701674765159	6.140870280910609
3	150000	5.934894195619588	5.962846179230956	6.141012872819565
3	1000000	5.934894195619588	5.949863771695076	6.1412367602471845
3	1500000	5.934894195619588	5.946668296849685	6.141253077408545
3	10	3.871201010907891	4.937928193334859	5.497562051418641
3	15	3.871201010907891	5.164291122793823	5.689307656012784
3	100	3.871201010907891	4.245453475308145	6.0303758649482395
3	150	3.871201010907891	4.191544410519955	6.035714941436812
3	1000	3.871201010907891	4.0388447293199174	6.1157163557397
3	1500	3.871201010907891	3.993143665605161	6.12624483616422
3	10000	3.871201010907891	3.911230209897486	6.137799379898363
3	15000	3.871201010907891	3.9237718211873673	6.138922415347804
3	100000	3.871201010907891	3.905971285112283	6.140893317723722
3	150000	3.871201010907891	3.901305293987118	6.141007114900287
3	1000000	3.871201010907891	3.888057339729924	6.141237301659118
3	1500000	3.871201010907891	3.884663572732391	6.141250849073783
3	10	5.19295685089021	6.477452192256122	5.476978937458502
3	15	5.19295685089021	6.030849852985002	5.81916009933984
3	100	5.19295685089021	5.504976881275319	5.999322235910446
3	150	5.19295685089021	5.516876309623443	6.053035307541483
3	1000	5.19295685089021	5.303137596475415	6.120267707020079
3	1500	5.19295685089021	5.305605232900583	6.125245442031946
3	10000	5.19295685089021	5.269073521225881	6.137988304131737
3	15000	5.19295685089021	5.24887129421651	6.13919994535166
3	100000	5.19295685089021	5.222360928246664	6.140887022322802
3	150000	5.19295685089021	5.222826393901804	6.141010780911034
3	1000000	5.19295685089021	5.207859097826956	6.141238169673853
3	1500000	5.19295685089021	5.203810713074738	6.141251730180979
4	10	5.4116460518550396	7.089872889337244	7.644681326585715
4	15	5.4116460518550396	7.1265973901929325	7.510896602641759
4	100	5.4116460518550396	6.394846854506564	8.0401144359113
4	150	5.4116460518550396	6.10343716160545	8.072929347293789
4	1000	5.4116460518550396	5.815446490246453	8.159383675468693
4	1500	5.4116460518550396	5.761809797815484	8.170133064127059
4	10000	5.4116460518550396	5.629480441242252	8.184054571088692
4	15000	5.4116460518550396	5.594052939661013	8.185494767631598
4	100000	5.4116460518550396	5.528949425505979	8.187842675441082
4	150000	5.4116460518550396	5.515288705409613	8.188012958530102
4	1000000	5.4116460518550396	5.475996420642915	8.188314618003249
4	1500000	5.4116460518550396	5.4712701059338595	8.188335089361969
4	10	5.2574953720277815	7.457077931496864	7.7533478423542554
4	15	5.2574953720277815	7.248383574226552	7.320395587786487
4	100	5.2574953720277815	6.392181619511035	8.012335504454429
4	150	5.2574953720277815	6.244685481601899	8.060951794008913
4	1000	5.2574953720277815	5.704339409429677	8.158097952971145
4	1500	5.2574953720277815	5.667101913018852	8.168411041345673
4	10000	5.2574953720277815	5.527935827909228	8.184395633642986
4	15000	5.2574953720277815	5.47173388348818	8.18540783126059
4	100000	5.2574953720277815	5.388741453244626	8.187858698543076
4	150000	5.2574953720277815	5.382431684368367	8.188021052410267
4	1000000	5.2574953720277815	5.333504682637249	8.188313422490806
4	1500000	5.2574953720277815	5.325795623834361	8.188331665919366
4	10	5.375278407684165	7.123680747017312	7.8194456868836175
4	15	5.375278407684165	7.339005113584774	7.518482403670201
4	100	5.375278407684165	5.956057119705919	8.014632556281398
4	150	5.375278407684165	5.863783453106707	8.006218278712216
4	1000	5.375278407684165	5.720424069979873	8.158840069879725
4	1500	5.375278407684165	5.760825553698129	8.168781927283062
4	10000	5.375278407684165	5.589646841781517	8.183995596844856
4	15000	5.375278407684165	5.565829363548397	8.185463719637665
4	100000	5.375278407684165	5.491784699735712	8.187841035357142
4	150000	5.375278407684165	5.4840866529689105	8.187998593929722
4	1000000	5.375278407684165	5.439962149424117	8.18831767528819
4	1500000	5.375278407684165	5.43323496125771	8.188337547952733
4	10	7.272398392570047	8.576571425974025	7.258009207553417
4	15	7.272398392570047	8.099501981463334	7.777683954474105
4	100	7.272398392570047	7.843458869617793	8.006305607171816
4	150	7.272398392570047	8.061508501593	8.067499305688555
4	1000	7.272398392570047	7.637837479143458	8.160642544546333
4	1500	7.272398392570047	7.568877976910284	8.16934879906307
4	10000	7.272398392570047	7.452215739348128	8.184265064835895
4	15000	7.272398392570047	7.434641344555452	8.185439017105434
4	100000	7.272398392570047	7.373079140085057	8.187858883799697
4	150000	7.272398392570047	7.363933960624398	8.18801184440133
4	1000000	7.272398392570047	7.329031354200749	8.188316682783533
4	1500000	7.272398392570047	7.323603222207241	8.188336995299858
4	10	4.143134726391533	5.706618055248777	5.888970911125588
4	15	4.143134726391533	5.713023858975852	7.486241650025257
4	100	4.143134726391533	4.8304974909774225	8.047677490682624
4	150	4.143134726391533	4.937231273901764	8.041957911421111
4	1000	4.143134726391533	4.541638576322587	8.157636951739287
4	1500	4.143134726391533	4.502354082804792	8.16897097932634
4	10000	4.143134726391533	4.366907358203765	8.184365225068625
4	15000	4.143134726391533	4.331458489883116	8.185638660061844
4	100000	4.143134726391533	4.262639493717172	8.187876052637957
4	150000	4.143134726391533	4.25153272044621	8.188027078997498
4	1000000	4.143134726391533	4.210190957545022	8.188317162712076
4	1500000	4.143134726391533	4.202557795909835	8.18833893793811
4	10	5.662960480135946	7.650267966682723	7.49188885381926
4	15	5.662960480135946	6.389601858274892	7.402551042701122
4	100	5.662960480135946	6.163173106969253	8.028730527786074
4	150	5.662960480135946	6.134179928445654	8.078634980642518
4	1000	5.662960480135946	5.982686071243169	8.15737985637696
4	1500	5.662960480135946	5.955987813641773	8.166840845921428
4	10000	5.662960480135946	5.8324711963912135	8.184166047901414
4	15000	5.662960480135946	5.828309502350721	8.185471395094911
4	100000	5.662960480135946	5.759632054831374	8.187856689646095
4	150000	5.662960480135946	5.7501734186593865	8.188004644130244
4	1000000	5.662960480135946	5.717301917068195	8.188312105793791
4	1500000	5.662960480135946	5.712292682498518	8.188336080813183
4	10	6.473890696352274	9.275655278047012	7.758053163219563
4	15	6.473890696352274	9.27918673958835	7.415875795264825
4	100	6.473890696352274	7.778002223514745	7.987612639426351
4	150	6.473890696352274	7.75457661806246	8.068133792231047
4	1000	6.473890696352274	7.00451707273244	8.157517898572253
4	1500	6.473890696352274	6.901597987885437	8.168864431714109
4	10000	6.473890696352274	6.752746814212556	8.18438831729743
4	15000	6.473890696352274	6.738613064545159	8.185556176366207
4	100000	6.473890696352274	6.634552993453839	8.187800973357866
4	150000	6.473890696352274	6.618394201679253	8.188010266112359
4	1000000	6.473890696352274	6.5635569362974024	8.188317978343685
4	1500000	6.473890696352274	6.5547469854560525	8.188336785228323
4	10	5.598421958998375	7.510667952037895	7.609151162525715
4	15	5.598421958998375	6.486533189062707	7.761322281670827
4	100	5.598421958998375	6.233681785398413	8.029955039251673
4	150	5.598421958998375	6.142828244728205	8.033661080911282
4	1000	5.598421958998375	5.944621567955638	8.161456388448622
4	1500	5.598421958998375	5.904790753943299	8.167575751171185
4	10000	5.598421958998375	5.810254666295615	8.184068885719771
4	15000	5.598421958998375	5.787491951603678	8.185531283629528
4	100000	5.598421958998375	5.708134743075145	8.187860945047653
4	150000	5.598421958998375	5.695934903986711	8.188027070236583
4	1000000	5.598421958998375	5.659710959561597	8.188316585011846
4	1500000	5.598421958998375	5.653281727903641	8.18833763745359
4	10	5.8377304471659395	8.294332885688998	7.90183499189283
4	15	5.8377304471659395	7.934054618160589	7.664075255678737
4	100	5.8377304471659395	7.0956037759571595	8.013947859964116
4	150	5.8377304471659395	6.994951838173023	8.074497783474374
4	1000	5.8377304471659395	6.339441807953154	8.159988030205529
4	1500	5.8377304471659395	6.253970471281636	8.167190442108167
4	10000	5.8377304471659395	6.099891052297288	8.183663052362188
4	15000	5.8377304471659395	6.068381116596944	8.185493243632887
4	100000	5.8377304471659395	5.982739099878958	8.187869789451941
4	150000	5.8377304471659395	5.969032021482299	8.188028091896392
4	1000000	5.8377304471659395	5.918936285120072	8.188312470005416
4	1500000	5.8377304471659395	5.910707982683229	8.18833790566831
4	10	4.499809670330265	8.468147025261299	7.925122316728149
4	15	4.499809670330265	6.548032098262183	7.54292676762479
4	100	4.499809670330265	5.403351281262683	8.026461085414581
4	150	4.499809670330265	5.327257361588238	8.058298091353876
4	1000	4.499809670330265	4.955603399348686	8.155733537129528
4	1500	4.499809670330265	4.889648924927045	8.164696338876547
4	10000	4.499809670330265	4.735794753522501	8.184309209227248
4	15000	4.499809670330265	4.712598195336266	8.185280320793655
4	100000	4.499809670330265	4.631858382279013	8.187875948264772
4	150000	4.499809670330265	4.616179536062901	8.188006665260845
4	1000000	4.499809670330265	4.573199602577763	8.188317534587178
