n_variables	n_samples	real_entropy	real_o_information	npeet_entropy	gcmi_entropy	o_info_npeet	o_info_gcmi
3	150	-1.755354374406103	-0.14795780421699334	-4.289604809304821	3.6054497080198638	-1.5411746303632086	-1.7076709273967299
3	1000	-1.755354374406103	-0.14795780421699334	-5.219422430108892	3.730325629507127	-2.3055802924097044	-1.7381374970940433
3	1500	-1.755354374406103	-0.14795780421699334	-5.409215773682721	3.6067482926801158	-2.483703849565792	-1.825126794732785
3	10000	-1.755354374406103	-0.14795780421699334	-6.363197348113358	3.5665690922378324	-3.4257725363931524	-1.899697199246162
3	15000	-1.755354374406103	-0.14795780421699334	-6.540551034645016	3.564460786804374	-3.6421321750296	-1.9019339872051075
3	100000	-1.755354374406103	-0.14795780421699334	-7.4958587188433725	3.5667150661689764	-4.584514695051981	-1.9023881371946736
3	150000	-1.755354374406103	-0.14795780421699334	-7.702045652851044	3.583118248175983	-4.779533739468441	-1.8874514414808297
3	1000000	-1.755354374406103	-0.14795780421699334	-8.647300263847464	3.5705095494355583	-5.727328163860669	-1.898220296725547
3	1500000	-1.755354374406103	-0.14795780421699334	-8.848568364039947	3.576943129956011	-5.930436849054949	-1.8929145243934262
3	10	-2.2551032003524174	0.05667370906472868	-4.083286404788265	4.70941438910506	-0.04755207970440889	-0.5353558413524189
3	15	-2.2551032003524174	0.05667370906472868	-3.6631261564866793	3.7208809515611914	-0.6964502467445879	-0.6470799811533126
3	100	-2.2551032003524174	0.05667370906472868	-4.79040570543831	3.6111296994379245	-0.913784368342311	-1.2765231209851757
3	150	-2.2551032003524174	0.05667370906472868	-5.066105585621569	3.819495354501459	-1.1450399859247975	-1.2530196827310363
3	1000	-2.2551032003524174	0.05667370906472868	-5.940111688377657	3.9902230537716776	-2.024526273988007	-1.1867801544579843
3	1500	-2.2551032003524174	0.05667370906472868	-6.2222151086774975	4.154708155329176	-2.1400018503937446	-1.083686234555877
3	10000	-2.2551032003524174	0.05667370906472868	-7.097896997161543	3.9814328783146977	-3.22625067360422	-1.2197872100774663
3	15000	-2.2551032003524174	0.05667370906472868	-7.275550666851803	4.016374254921252	-3.4202115599343603	-1.1986788573993774
3	100000	-2.2551032003524174	0.05667370906472868	-8.242928390661824	4.00352111355404	-4.3673963270152605	-1.2107863822549394
3	150000	-2.2551032003524174	0.05667370906472868	-8.442486854526084	4.005945328878382	-4.5601428849231525	-1.2066931717951386
3	1000000	-2.2551032003524174	0.05667370906472868	-9.397024463319793	4.013797859662795	-5.505995765107794	-1.2050535187225808
3	1500000	-2.2551032003524174	0.05667370906472868	-9.601050586819722	4.013960107634449	-5.710448649789345	-1.2059324663362228
3	10	-2.320616258526634	0.3283979164994859	-3.315400475852101	4.347983014618062	-0.10009250463275432	-0.2489348397201665
3	15	-2.320616258526634	0.3283979164994859	-4.059303532922822	4.164054196728125	-0.38886455962272004	-0.20681712238147565
3	100	-2.320616258526634	0.3283979164994859	-4.78915223474487	4.116405200325964	-1.032879945652799	-0.9265663982186219
3	150	-2.320616258526634	0.3283979164994859	-5.034734653341616	3.7787592329121544	-1.1391073107249152	-1.164581939351157
3	1000	-2.320616258526634	0.3283979164994859	-5.932290279043084	3.7956323576888384	-2.071008774276619	-1.2323193388234706
3	1500	-2.320616258526634	0.3283979164994859	-6.228968730960144	3.8881397968588787	-2.2676738440786703	-1.1652875275865768
3	10000	-2.320616258526634	0.3283979164994859	-7.17774086340493	3.789535016736782	-3.1751540880910074	-1.263528556396618
