distribution	alpha	window	O-information	Total Correlation	Dual Total Correlation	S-information
tt_normal	0.1	9	-0.0030280717348157367	0.017138543024152852	0.02016664152563115	0.03729594006216324
tt_normal	0.2	0	0.020585350001537574	0.054740044113383846	0.03415469411183731	0.08889472450548948
tt_normal	0.2	1	0.010436057153400534	0.053894448794558514	0.04345809940406701	0.097352473071897
tt_normal	0.2	2	-0.019317620644742232	0.07513078452827315	0.09444840517301287	0.16957920374458113
tt_normal	0.2	3	0.002967840763252868	0.05902333563687989	0.05605543233453492	0.11507870222053944
tt_normal	0.2	4	-0.0012399528473022244	0.061377229203166905	0.06261724792662604	0.12399434583140542
tt_normal	0.2	5	-0.004926806184612121	0.0647740224341149	0.06970082861873092	0.1344750125791853
tt_normal	0.2	6	0.013050081804752423	0.056870849760748854	0.04382096261904254	0.10069193505790039
tt_normal	0.2	7	-0.0033162911059223575	0.058035059059498906	0.06135127896025403	0.11938621732571979
tt_normal	0.2	8	-0.009392975855260598	0.06540712169103102	0.07479999112074756	0.14020712964858384
tt_normal	0.2	9	-0.0038431548905096427	0.06932414181300572	0.07316715567596917	0.1424910611500174
tt_normal	0.3	0	-4.095267054857693E-4	0.13655132204362985	0.13696090246959366	0.27351209617612154
tt_normal	0.3	1	0.014083647035381862	0.13711453974202215	0.12303074586308056	0.26014542372893734
tt_normal	0.3	2	0.01337700475656687	0.13470387879146628	0.12132394072060611	0.25603083962338186
tt_normal	0.3	3	0.013453058010669499	0.12629658362342866	0.11284358809661682	0.2391400298992342
tt_normal	0.3	4	0.014395977977741541	0.12653219889493172	0.11213630681121854	0.23866862209493878
tt_normal	0.3	5	0.014507794207719651	0.1291578458941487	0.11464980787981983	0.24380732115726744
tt_normal	0.3	6	0.017231648459460333	0.1245485118661307	0.10731687192247051	0.23186557310235215
tt_normal	0.3	7	-0.012094257319490936	0.14796549518948154	0.16005978394552195	0.3080251685227346
tt_normal	0.3	8	0.02347008662663872	0.13543488186012098	0.11196487653429171	0.24739974011940347
tt_normal	0.3	9	0.014883196115166314	0.1306610236355752	0.11577789722486131	0.2464390668308256
tt_normal	0.4	0	0.0393043828100129	0.21131493805541623	0.17201052754447646	0.38332551457667813
tt_normal	0.4	1	0.03539119864583092	0.21224673518957005	0.1768556147298162	0.38910237768805883
tt_normal	0.4	2	0.04174917266687885	0.21727771698817477	0.17553065034506463	0.3928063468435228
tt_normal	0.4	3	0.04321021538634379	0.21835413272532023	0.17514613430081333	0.3935002046690979
tt_normal	0.4	4	0.03409243291109076	0.2048718613553433	0.17077931819068332	0.3756510380607206
